pickup_datetime,passenger_count,trip_distance_mi,fare_amount,tip_amount,total_amount
2013-02-10T21:59,2,1.61,7.0,1.5,9.5
2013-02-10T22:00,6,0.98,6.0,0.0,7.0
2013-02-10T21:57,1,1.09,6.0,1.62,8.62
2013-02-10T21:39,1,16.84,52.0,0.0,57.3
2013-02-08T09:44,1,1.95,11.5,3.45,15.45
2013-02-10T22:01,1,0.87,5.5,1.8,8.3
2013-02-10T21:47,1,9.92,28.0,0.0,29.0
2013-02-08T09:47,1,1.42,10.0,2.0,12.5
2013-02-08T09:53,1,1.51,8.5,1.7,10.7
2013-02-08T09:54,5,0.44,4.5,0.0,5.0
2013-02-10T21:52,1,1.46,6.5,0.0,7.5
2013-02-05T19:21,1,2.31,15.0,3.0,19.5
2013-02-05T19:31,5,1.72,10.5,2.3,14.3
2013-02-05T19:35,4,0.5,4.0,0.0,5.5
2013-02-08T09:47,3,1.73,8.0,1.5,10.0
2013-02-08T09:54,2,1.58,6.5,1.3,8.3
2013-02-08T09:41,5,1.73,11.5,3.45,15.45
2013-02-08T09:44,1,2.02,12.0,2.4,14.9
2013-02-08T09:50,1,3.31,13.0,1.25,14.75
2013-02-08T09:41,1,2.6,13.5,0.0,14.0
2013-02-10T21:55,1,1.97,8.0,0.0,9.0
2013-02-05T19:24,1,2.46,10.5,0.0,12.0
2013-02-05T19:28,1,1.25,7.5,0.0,9.0
2013-02-10T21:51,1,3.01,12.0,1.5,14.5
2013-02-08T09:41,1,1.45,11.5,2.3,14.3
2013-02-10T21:54,2,1.41,8.0,1.0,10.0
2013-02-08T09:56,2,0.9,5.5,0.0,6.0
2013-02-10T21:59,1,1.49,7.0,1.0,9.0
2013-02-10T21:44,2,5.3,18.5,0.0,19.5
2013-02-05T19:34,2,1.19,6.0,2.1,9.6
2013-02-10T21:58,1,0.51,4.0,0.0,5.0
2013-02-10T22:00,2,0.66,4.0,1.12,6.12
2013-02-05T19:03,1,1.82,8.5,1.0,11.0
2013-02-10T20:45,1,2.23,10.0,0.0,11.0
2013-02-08T08:57,2,1.98,14.5,1.0,16.0
2013-02-10T22:33,1,1.33,7.5,2.0,10.5
2013-02-10T22:30,5,3.02,11.5,3.0,15.5
2013-02-10T22:26,1,2.52,11.5,1.0,13.5
2013-02-10T22:30,1,2.16,9.0,2.0,12.0
2013-02-10T22:27,1,2.92,12.0,2.5,15.5
2013-02-10T22:23,1,5.88,19.5,4.0,24.5
2013-02-10T21:45,1,1.04,6.0,1.3,8.3
2013-02-08T09:00,6,0.42,3.5,0.0,4.0
2013-02-05T18:50,1,1.86,10.0,2.75,14.25
2013-02-08T08:42,1,2.89,15.5,1.0,17.0
2013-02-08T08:49,1,1.2,10.0,0.0,10.5
2013-02-05T18:47,6,2.51,12.5,0.0,14.0
2013-02-05T19:00,6,0.55,4.0,3.0,8.5
2013-02-10T20:25,3,0.63,4.5,0.0,5.5
2013-02-10T20:12,1,4.85,17.0,3.5,21.5
2013-02-08T08:48,6,1.25,9.0,1.0,10.5
2013-02-10T20:28,1,1.45,6.0,1.3,8.3
2013-02-08T09:01,1,0.8,4.5,1.12,6.12
2013-02-08T09:02,1,0.37,3.0,1.5,5.0
2013-02-05T19:04,1,0.49,3.5,0.9,5.9
2013-02-08T08:46,4,3.34,15.5,3.1,19.1
2013-02-05T18:52,2,2.66,10.5,0.0,12.0
2013-02-10T20:25,1,0.83,6.0,0.0,7.0
2013-02-05T18:44,5,3.14,14.0,3.0,18.5
2013-02-05T18:58,1,1.71,8.0,1.8,11.3
2013-02-05T18:37,3,3.94,17.5,0.0,19.0
2013-02-10T20:23,1,1.4,7.0,0.0,8.0
2013-02-10T20:34,2,1.09,5.5,1.2,7.7
2013-02-10T20:25,1,2.08,9.0,1.0,11.0
2013-02-08T08:49,1,2.17,10.5,2.0,13.0
2013-02-05T19:39,2,3.9,14.0,2.0,17.5
2013-02-08T10:05,1,9.04,28.5,0.0,29.0
2013-02-08T10:27,1,0.65,5.0,1.0,6.5
2013-02-10T22:35,2,0.32,4.0,0.0,5.0
2013-02-10T22:26,5,2.84,11.5,2.0,14.5
2013-02-08T10:18,2,0.87,5.5,0.0,6.0
2013-02-08T10:28,1,0.48,4.0,0.0,4.5
2013-02-08T10:22,1,1.13,6.5,1.3,8.3
2013-02-10T22:42,1,1.23,7.0,1.58,9.58
2013-02-08T10:14,6,2.92,14.0,0.0,14.5
2013-02-10T22:45,2,0.76,5.0,0.0,6.0
2013-02-10T22:35,3,3.83,15.5,3.2,19.7
2013-02-10T22:13,1,29.16,140.0,28.0,172.8
2013-02-05T19:53,6,0.53,4.0,1.0,6.5
2013-02-08T10:15,1,0.67,5.0,0.0,5.5
2013-02-08T10:14,1,1.52,7.5,1.5,9.5
2013-02-05T19:33,1,2.55,11.0,0.0,12.5
2013-02-05T19:22,5,10.2,32.5,8.38,42.38
2013-02-05T19:30,1,3.03,14.0,3.75,19.25
2013-02-05T19:40,6,1.29,7.0,1.0,9.5
2013-02-08T10:17,1,0.0,4.0,0.0,4.5
2013-02-05T19:35,1,2.96,11.5,0.0,13.0
2013-02-05T19:40,1,1.38,8.0,0.0,9.5
2013-02-05T19:46,1,0.74,5.5,0.0,7.0
2013-02-10T22:20,1,2.71,11.0,1.5,13.5
2013-02-05T19:41,1,2.1,10.0,2.2,13.7
2013-02-05T19:28,2,3.7,14.5,0.0,16.0
2013-02-08T09:45,1,12.51,38.5,0.0,43.8
2013-02-10T21:55,1,16.19,52.0,0.0,52.5
2013-02-10T22:10,1,1.93,10.5,0.2,11.7
2013-02-05T19:40,1,1.94,7.5,1.7,10.7
2013-02-05T19:37,1,1.04,8.0,1.5,11.0
2013-02-08T09:44,1,10.51,34.0,6.8,46.1
2013-02-10T22:21,1,0.92,6.0,0.0,7.0
2013-02-05T19:28,1,3.39,14.5,0.0,16.0
2013-02-05T19:35,2,1.94,9.0,0.0,10.5
2013-02-08T09:41,6,1.74,9.0,0.0,9.5
2013-02-08T09:31,6,2.08,14.5,2.9,17.9
2013-02-08T09:25,1,11.53,33.0,0.0,38.3
2013-02-01T06:15:58,1,1.5,6.5,1.4,8.4
2013-02-08T09:51,1,0.57,4.0,0.0,4.5
2013-02-05T19:20,5,5.58,18.0,2.0,21.5
2013-02-05T19:22,1,2.1,10.0,2.75,14.25
2013-02-05T19:21,2,2.63,10.5,2.88,14.88
2013-02-08T09:34,1,1.26,7.5,0.0,8.0
2013-02-05T19:24,5,2.3,10.0,1.5,13.0
2013-02-10T21:36,1,1.22,6.5,1.0,8.5
2013-02-10T21:33,2,3.43,12.0,0.0,13.0
2013-02-10T21:34,1,2.91,10.5,1.0,12.5
2013-02-05T19:15,6,2.08,9.5,1.0,12.0
2013-02-05T19:13,1,1.29,8.5,2.0,12.0
2013-02-05T19:20,1,0.78,5.5,0.0,7.0
2013-02-08T09:31,1,0.87,6.0,0.0,6.5
2013-02-08T09:34,6,0.76,5.0,1.25,6.75
2013-02-10T21:22,1,0.27,3.0,0.0,4.0
2013-02-05T19:31,1,0.8,5.0,1.8,8.3
2013-02-05T19:12,1,1.7,9.5,2.1,13.1
2013-02-10T21:19,4,1.4,8.0,0.0,9.0
2013-02-10T21:08,1,5.18,17.0,0.0,18.0
2013-02-08T09:18,3,2.87,14.5,1.5,16.5
2013-02-05T19:12,1,1.87,10.5,0.0,12.0
2013-02-08T10:12,2,1.11,6.0,0.0,6.5
2013-02-10T22:16,1,2.91,11.0,1.5,13.5
2013-02-10T22:19,1,2.39,9.5,1.5,12.0
2013-02-05T19:18,5,4.39,21.0,0.0,22.5
2013-02-05T19:43,1,0.39,4.5,0.0,6.0
2013-02-10T22:23,1,0.56,5.5,1.0,7.5
2013-02-10T22:19,1,1.76,8.0,1.7,10.7
2013-02-08T10:12,1,1.09,6.5,0.0,7.0
2013-02-10T22:24,1,0.77,4.5,0.0,5.5
2013-02-10T22:04,1,2.89,15.5,2.0,18.5
2013-02-05T19:38,1,1.51,8.0,0.0,9.5
2013-02-05T19:44,5,1.39,6.0,0.0,7.5
2013-02-08T09:22,1,1.49,9.5,1.9,11.9
2013-02-08T09:07,1,4.43,22.0,5.5,28.0
2013-02-05T19:13,1,3.3,12.5,2.5,16.5
2013-02-08T09:29,2,0.49,5.0,0.0,5.5
2013-02-10T21:07,2,8.57,25.5,5.0,31.5
2013-02-10T21:10,3,4.03,13.5,0.0,14.5
2013-02-08T09:30,2,0.92,6.0,1.2,7.7
2013-02-05T19:18,3,0.66,6.0,1.4,8.9
2013-02-08T09:28,6,0.54,6.0,1.0,7.5
2013-02-08T09:24,1,1.07,8.5,1.7,10.7
2013-02-08T09:20,1,1.78,10.5,2.1,13.1
2013-02-08T09:29,1,0.73,6.0,0.0,6.5
2013-02-05T19:21,2,0.97,7.0,0.0,8.5
2013-02-05T19:20,6,0.54,4.5,1.1,7.1
2013-02-10T21:17,1,2.53,10.0,2.1,13.1
2013-02-10T21:20,1,1.46,7.5,2.0,10.5
2013-02-05T19:06,1,6.96,23.0,4.8,29.3
2013-02-08T09:55,1,3.78,19.5,1.0,21.0
2013-02-08T10:17,1,0.86,5.5,1.1,7.1
2013-02-08T10:04,1,5.0,17.5,4.38,22.38
2013-02-08T10:03,1,2.37,12.0,2.4,14.9
2013-02-05T19:41,1,0.82,5.5,1.0,8.0
2013-02-08T09:52,1,2.74,15.5,0.0,16.0
2013-02-10T22:11,1,3.27,11.5,2.4,14.9
2013-02-08T10:10,1,0.76,4.5,0.0,5.0
2013-02-08T10:13,1,0.63,4.5,0.9,5.9
2013-02-10T22:03,1,1.56,8.0,0.0,9.0
2013-02-10T22:10,1,3.03,12.0,2.0,15.0
2013-02-10T22:13,4,0.9,4.5,0.0,5.5
2013-02-10T22:06,1,2.89,11.0,0.0,12.0
2013-02-10T22:08,1,3.25,12.0,3.12,16.12
2013-02-08T09:57,1,2.35,12.0,1.0,13.5
2013-02-08T09:58,1,2.89,12.0,0.0,12.5
2013-02-10T22:16,1,0.79,6.0,0.0,7.0
2013-02-05T19:25,1,4.22,16.0,2.5,20.0
2013-02-05T19:28,1,4.91,18.0,3.8,23.3
2013-02-05T19:32,1,0.18,9.0,2.5,13.0
2013-02-10T22:06,6,2.78,12.0,3.12,16.12
2013-02-05T19:48,1,0.9,5.5,1.0,8.0
2013-02-05T19:50,1,1.28,6.0,1.0,8.5
2013-02-08T10:23,1,0.89,7.0,1.4,8.9
2013-02-05T19:46,6,1.94,9.0,1.0,11.5
2013-02-08T10:17,1,1.89,10.5,1.5,12.5
2013-02-05T19:47,3,0.6,5.5,1.0,8.0
2013-02-05T19:49,1,0.77,5.5,1.3,8.3
2013-02-10T22:35,5,7.4,21.5,5.5,28.0
2013-02-08T10:02,1,2.77,17.5,3.5,21.5
2013-02-10T22:33,2,3.66,14.5,3.0,18.5
2013-02-10T22:45,1,0.0,60.0,9.0,79.75
2013-02-05T19:45,5,1.17,6.5,0.0,8.0
2013-02-05T19:36,4,2.39,13.0,0.0,14.5
2013-02-10T22:27,5,6.59,20.0,4.1,25.1
2013-02-10T22:41,1,2.66,10.0,0.0,11.0
2013-02-08T10:20,2,1.64,9.5,1.5,11.5
2013-02-10T22:42,2,1.94,7.5,1.6,10.1
2013-02-08T10:27,1,1.06,6.0,1.5,8.0
2013-02-08T10:28,1,0.55,3.5,0.0,4.0
2013-02-08T10:28,2,0.94,5.0,0.0,5.5
2013-02-05T19:14,1,1.15,6.0,1.4,8.9
2013-02-05T19:13,1,2.26,11.0,2.4,14.9
2013-02-05T19:14,2,1.23,7.5,0.0,9.0
2013-02-05T19:22,3,1.09,6.0,1.4,8.9
2013-02-08T09:25,3,1.13,8.0,0.0,8.5
2013-02-08T09:22,1,3.19,14.5,2.9,17.9
2013-02-08T09:24,1,1.17,9.0,1.8,11.3
2013-02-08T09:25,1,1.34,9.5,1.9,11.9
2013-02-08T09:20,1,2.9,13.0,2.6,16.1
2013-02-08T09:27,2,1.85,8.5,1.7,10.7
2013-02-10T21:17,1,2.05,8.0,1.7,10.7
2013-02-08T09:22,1,0.81,6.0,1.0,7.5
2013-02-10T20:57,1,5.47,23.5,6.0,30.5
2013-02-05T19:12,1,2.6,12.5,0.0,14.0
2013-02-05T19:26,4,0.9,5.5,0.0,7.0
2013-02-08T08:53,6,2.13,10.5,0.0,11.0
2013-02-05T18:59,1,0.94,6.5,0.0,8.0
2013-02-08T08:37,1,6.48,22.0,2.0,24.5
2013-02-08T08:59,5,0.86,6.5,1.62,8.62
2013-02-08T08:44,2,3.33,17.0,3.4,20.9
2013-02-08T09:03,1,0.53,5.0,1.0,6.5
2013-02-08T08:50,1,6.24,19.0,3.8,23.3
2013-02-08T08:57,1,0.76,6.0,0.0,6.5
2013-02-10T20:13,2,6.8,23.5,5.0,29.5
2013-02-08T09:06,1,0.42,4.0,0.0,4.5
